net,length_um
_04460_,262.68µm
net1179,262.525µm
_08151_,262.47µm
_03157_,262.445µm
_07112_,262.41µm
net1723,262.23µm
_03932_,262.13µm
net767,262.09µm
net1832,261.775µm
clknet_5_19__leaf_u_ibex_top.clk,261.38µm
net1431,261.08µm
net989,260.9µm
_07850_,260.88µm
_08886_,260.75µm
net1734,260.65µm
net1604,260.58µm
net2643,260.39µm
net701,260.32µm
_06992_,260.31µm
net1715,260.095µm
net684,259.61µm
net746,259.42µm
net1791,259.29µm
net1710,259.11µm
net1774,258.795µm
_07062_,258.79µm
net2383,258.68µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[51\],258.67µm
net790,258.4µm
net1159,258.39µm
u_ibex_top.crash_dump_o\[131\],258.27µm
net383,258.2µm
net679,258.1µm
_07711_,258.08µm
net1471,258.08µm
net378,257.97µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[60\],257.715µm
net583,257.56µm
net644,257.3µm
_07539_,257.26µm
net712,257.2µm
net864,257.2µm
_06792_,257.19µm
net1277,257.165µm
net1533,257.08µm
_07687_,257.04µm
net1176,256.815µm
net2130,256.72µm
_02158_,256.48µm
_07298_,256.46µm
_08030_,256.385µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[57\],256.32µm
net1342,256.17µm
net913,256.13µm
_08853_,255.96µm
_09191_,255.96µm
_06344_,255.88µm
u_ibex_top.u_ibex_core.cs_registers_i.dcsr_q\[2\],255.6µm
_07576_,255.53µm
_08717_,255.46µm
net21,255.365µm
_07925_,255.17µm
_04474_,255.16µm
net361,255.075µm
net858,254.94µm
net1162,254.84µm
net1108,254.83µm
_06655_,254.67µm
net1684,253.84µm
net1878,253.8µm
net2192,253.68µm
clknet_5_14__leaf_u_ibex_top.clk,253.68µm
_04349_,253.3µm
net1249,253.21µm
_07855_,253.18µm
_03136_,252.95µm
net2207,252.94µm
net634,252.8µm
_02664_,252.7µm
net1799,252.7µm
_02253_,252.62µm
net1758,252.48µm
net1436,252.415µm
net1544,251.87µm
_07178_,251.8µm
_07266_,251.8µm
net1697,251.46µm
net723,251.27µm
clknet_5_13__leaf_u_ibex_top.clk,251.26µm
net611,251.16µm
net1469,251.035µm
net382,250.68µm
_06914_,250.66µm
net1527,250.65µm
_05124_,250.6µm
net1624,250.455µm
net227,250.42µm
net1426,250.05µm
net1650,250.035µm
net1030,250µm
net1240,249.98µm
net589,249.96µm
net279,249.84µm
_06840_,249.62µm
_05395_,249.56µm
clknet_5_11__leaf_u_ibex_top.clk,249.44µm
net554,249.41µm
net672,249.17µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[61\],249.15µm
_07204_,248.91µm
net756,248.9µm
u_ibex_top.u_ibex_core.load_store_unit_i.data_we_q,248.88µm
net351,248.76µm
net27,248.5µm
_06805_,248.37µm
net1156,248.275µm
_08858_,248.14µm
net1404,247.98µm
_05454_,247.92µm
_09800_,247.66µm
net1089,247.39µm
net1717,247.26µm
net816,247.14µm
net1907,247.12µm
net1285,247.06µm
_02254_,246.96µm
net868,246.86µm
u_ibex_top.crash_dump_o\[51\],246.825µm
_06977_,246.77µm
_03180_,246.76µm
net925,246.64µm
net813,246.6µm
_02524_,246.2µm
net303,246.05µm
net391,245.98µm
net2264,245.96µm
net683,245.7µm
net1532,245.685µm
_07026_,245.655µm
clknet_5_20__leaf_u_ibex_top.clk,245.4µm
net1796,245.36µm
net1228,245.3µm
_07059_,245.04µm
u_ibex_top.u_ibex_core.ex_block_i.alu_i.g_no_alu_rvb.unused_imd_val_q\[33\],244.84µm
net736,244.62µm
u_ibex_top.u_ibex_core.cs_registers_i.csr_addr\[8\],244.48µm
net1595,244.46µm
net2151,244.355µm
_06577_,244.04µm
_07094_,243.66µm
net579,243.5µm
net399,243.35µm
net1141,243.32µm
