Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_265_279,VPWR,li1,134.0900,731.6800,1.799999
FILLER_265_273,VPWR,li1,132.4800,731.6800,1.799999
FILLER_265_261,VPWR,li1,128.3400,731.6800,1.799999
FILLER_265_249,VPWR,li1,122.8200,731.6800,1.799999
FILLER_265_237,VPWR,li1,117.3000,731.6800,1.799999
FILLER_265_225,VPWR,li1,111.7800,731.6800,1.799999
FILLER_265_223,VPWR,li1,108.3300,731.6800,1.799999
FILLER_265_217,VPWR,li1,106.7200,731.6800,1.799999
FILLER_265_205,VPWR,li1,102.5800,731.6800,1.799999
FILLER_265_193,VPWR,li1,97.0600,731.6800,1.800000
FILLER_265_181,VPWR,li1,91.5400,731.6800,1.800000
FILLER_265_169,VPWR,li1,86.0200,731.6800,1.800000
FILLER_265_167,VPWR,li1,82.5700,731.6800,1.800000
FILLER_265_161,VPWR,li1,80.9600,731.6800,1.800000
FILLER_265_149,VPWR,li1,76.8200,731.6800,1.800000
FILLER_265_137,VPWR,li1,71.3000,731.6800,1.800000
FILLER_265_125,VPWR,li1,65.7800,731.6800,1.800000
FILLER_265_113,VPWR,li1,60.2600,731.6800,1.800000
FILLER_265_111,VPWR,li1,56.8100,731.6800,1.800000
FILLER_265_105,VPWR,li1,55.2000,731.6800,1.800000
FILLER_265_93,VPWR,li1,51.0600,731.6800,1.800000
FILLER_265_81,VPWR,li1,45.5400,731.6800,1.800000
FILLER_265_69,VPWR,li1,40.0200,731.6800,1.800000
FILLER_265_57,VPWR,li1,34.5000,731.6800,1.800000
FILLER_265_55,VPWR,li1,31.0500,731.6800,1.800000
FILLER_265_51,VPWR,li1,29.9000,731.6800,1.800000
FILLER_265_39,VPWR,li1,26.2200,731.6800,1.800000
FILLER_265_27,VPWR,li1,20.7000,731.6800,1.800000
FILLER_265_15,VPWR,li1,15.1800,731.6800,1.800000
FILLER_265_3,VPWR,li1,9.6600,731.6800,1.799999
FILLER_264_1597,VPWR,li1,740.6000,731.6800,1.799974
FILLER_264_1595,VPWR,li1,739.4500,731.6800,1.799974
FILLER_264_1589,VPWR,li1,737.8400,731.6800,1.799974
FILLER_264_1577,VPWR,li1,733.7000,731.6800,1.799975
FILLER_264_1565,VPWR,li1,728.1800,731.6800,1.799975
FILLER_264_1553,VPWR,li1,722.6600,731.6800,1.799975
FILLER_264_1541,VPWR,li1,717.1400,731.6800,1.799976
FILLER_264_1539,VPWR,li1,713.6900,731.6800,1.799976
FILLER_264_1533,VPWR,li1,712.0800,731.6800,1.799976
FILLER_264_1521,VPWR,li1,707.9400,731.6800,1.799976
FILLER_264_1509,VPWR,li1,702.4200,731.6800,1.799977
FILLER_264_1497,VPWR,li1,696.9000,731.6800,1.799977
FILLER_264_1485,VPWR,li1,691.3800,731.6800,1.799978
FILLER_264_1481,VPWR,li1,687.4700,731.6800,1.799978
FILLER_264_1473,VPWR,li1,684.9400,731.6800,1.799978
FILLER_264_1461,VPWR,li1,680.3400,731.6800,1.799978
FILLER_264_1413,VPWR,li1,656.8800,731.6800,1.799983
FILLER_264_1373,VPWR,li1,637.7900,731.6800,1.799990
FILLER_264_1371,VPWR,li1,636.4100,731.6800,1.799991
FILLER_264_1365,VPWR,li1,634.8000,731.6800,1.799991
FILLER_264_1353,VPWR,li1,630.6600,731.6800,1.799990
FILLER_264_1341,VPWR,li1,625.1400,731.6800,1.799987
