Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_265_167,VGND,li1,82.5700,734.4000,0.000003
FILLER_265_161,VGND,li1,80.9600,734.4000,0.000003
FILLER_265_149,VGND,li1,76.8200,734.4000,0.000003
FILLER_265_137,VGND,li1,71.3000,734.4000,0.000003
FILLER_265_125,VGND,li1,65.7800,734.4000,0.000002
FILLER_265_113,VGND,li1,60.2600,734.4000,0.000002
FILLER_265_111,VGND,li1,56.8100,734.4000,0.000002
FILLER_265_105,VGND,li1,55.2000,734.4000,0.000002
FILLER_265_93,VGND,li1,51.0600,734.4000,0.000002
FILLER_265_81,VGND,li1,45.5400,734.4000,0.000002
FILLER_265_69,VGND,li1,40.0200,734.4000,0.000001
FILLER_265_57,VGND,li1,34.5000,734.4000,0.000001
FILLER_265_55,VGND,li1,31.0500,734.4000,0.000001
FILLER_265_51,VGND,li1,29.9000,734.4000,0.000001
FILLER_265_39,VGND,li1,26.2200,734.4000,0.000001
FILLER_265_27,VGND,li1,20.7000,734.4000,0.000001
FILLER_265_15,VGND,li1,15.1800,734.4000,0.000001
FILLER_265_3,VGND,li1,9.6600,734.4000,0.000001
FILLER_264_1597,VGND,li1,740.6000,728.9600,0.000027
FILLER_264_1595,VGND,li1,739.4500,728.9600,0.000027
FILLER_264_1589,VGND,li1,737.8400,728.9600,0.000027
FILLER_264_1577,VGND,li1,733.7000,728.9600,0.000027
FILLER_264_1565,VGND,li1,728.1800,728.9600,0.000026
FILLER_264_1553,VGND,li1,722.6600,728.9600,0.000026
FILLER_264_1541,VGND,li1,717.1400,728.9600,0.000026
FILLER_264_1539,VGND,li1,713.6900,728.9600,0.000025
FILLER_264_1533,VGND,li1,712.0800,728.9600,0.000025
FILLER_264_1521,VGND,li1,707.9400,728.9600,0.000025
FILLER_264_1509,VGND,li1,702.4200,728.9600,0.000025
FILLER_264_1497,VGND,li1,696.9000,728.9600,0.000024
FILLER_264_1485,VGND,li1,691.3800,728.9600,0.000024
FILLER_264_1481,VGND,li1,687.4700,728.9600,0.000024
FILLER_264_1473,VGND,li1,684.9400,728.9600,0.000024
FILLER_264_1461,VGND,li1,680.3400,728.9600,0.000023
FILLER_264_1413,VGND,li1,656.8800,728.9600,0.000019
FILLER_264_1373,VGND,li1,637.7900,728.9600,0.000015
FILLER_264_1371,VGND,li1,636.4100,728.9600,0.000016
FILLER_264_1365,VGND,li1,634.8000,728.9600,0.000016
FILLER_264_1353,VGND,li1,630.6600,728.9600,0.000019
FILLER_264_1341,VGND,li1,625.1400,728.9600,0.000024
FILLER_264_1329,VGND,li1,619.6200,728.9600,0.000027
FILLER_264_1317,VGND,li1,614.1000,728.9600,0.000032
FILLER_264_1315,VGND,li1,610.6500,728.9600,0.000033
